File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selLegendsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resLegendsChart($in_result),7,6,4,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selCommandsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resCommandsChart($in_result),7,6,4,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selCommandLabelsChart(),7,7,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resCommandLabelsChart($in_result),7,6,4,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selThisLanguageStringsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resThisLanguageStringsChart($in_result),12,11,9,1,0,0,1,5,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selPlatformsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resPlatformsChart($in_result),8,7,5,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selLayoutsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resLayoutsChart($in_result),8,7,5,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selKeyStylesChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resKeyStylesChart($in_result),7,6,4,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selKeyStyleClassesChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resKeyStyleClassesChart($in_result),9,8,6,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,selLegendColorsChart(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-chart.php,resLegendColorsChart($in_result),9,8,6,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,selGenresFront(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,resGenresFront($in_result),10,9,7,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,selGamesFront(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,resGamesFront($in_result),12,11,9,1,0,0,1,4,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,selStylegroupsFront(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,resStylegroupsFront($in_result),10,9,7,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,selStylesFront(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,resStylesFront($in_result),11,10,8,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,selPlatformsFront(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,resPlatformsFront($in_result),13,12,10,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,selLayoutsFront(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-frontend.php,resLayoutsFront($in_result),11,10,8,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-js.php,selThisGameAutoinc(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-js.php,resThisGameAutoinc($in_result),8,7,5,1,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\queries-js.php,selThisLayoutAutoinc(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-js.php,resThisLayoutAutoinc($in_result),8,7,5,1,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\queries-js.php,selThisStyleAutoinc(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-js.php,resThisStyleAutoinc($in_result),8,7,5,1,0,0,1,1,
C:\xampp\htdocs\keyboard\lib\queries-js.php,selSeoUrls(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-js.php,resSeoUrls($in_result),8,7,5,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-js.php,selGameRecords(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-js.php,resGameRecords($in_result),10,8,6,1,0,0,2,6,
C:\xampp\htdocs\keyboard\lib\queries-js.php,selStyleRecords(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-js.php,resStyleRecords($in_result),10,8,6,1,0,0,2,6,
C:\xampp\htdocs\keyboard\lib\queries-list.php,selGenresList(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-list.php,resGenresList($in_result),8,7,5,1,0,0,1,2,
C:\xampp\htdocs\keyboard\lib\queries-list.php,selGamesList(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-list.php,resGamesList($in_result),8,7,5,1,0,0,1,4,
C:\xampp\htdocs\keyboard\lib\queries-list.php,selLayoutsList(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-list.php,resLayoutsList($in_result),8,7,5,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-list.php,selGamesRecordsList(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-list.php,resGamesRecordsList($in_result),8,7,5,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\queries-list.php,selPlatformsList(),4,4,4,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\queries-list.php,resPlatformsList($in_result),8,7,5,1,0,0,1,3,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,extension($path),5,5,5,2,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,"selectQuery(&$connection, $query_string, $dofunction)",23,23,14,3,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,checkURLParameters(),126,110,59,16,4,3,12,75,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,pageTitle(),6,6,5,0,0,0,0,0,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,seo_url($input),7,7,7,1,0,5,0,31,
C:\xampp\htdocs\keyboard\lib\scripts-all.php,getPlatformID($in_layout_id),12,11,7,2,0,0,1,5,
